Beneficiários por UFs, Regiões Metropolitanas (RM) e Capitais
Assistência Médica por Faixa etária e Competência
Sexo: Feminino
Período:Jun/2008, Jun/2009, Jun/2010, Jun/2011, Jun/2012, Jun/2013, Jun/2014, Jun/2015, Jun/2016, Jun/2017, Jun/2018, Jun/2019, Jun/2020, Jun/2021, Jun/2022, Jun/2023, Jun/2024
"Faixa etaria";"Jun24";"Jun23";"Jun22";"Jun21";"Jun20";"Jun19";"Jun18";"Jun17";"Jun16";"Jun15";"Jun14";"Jun13";"Jun12";"Jun11";"Jun10";"Jun09";"Jun08"
"Ate 1 ano";271527;285458;290592;282860;293010;323701;332552;312717;344245;353984;335983;323141;298734;301784;294360;280043;265559
"1 a 4 anos";1285332;1332872;1369935;1337885;1349374;1379066;1374568;1404456;1411946;1445562;1446946;1399419;1343332;1326042;1254288;1173377;1146683
"5 a 9 anos";1692672;1670805;1625106;1585068;1530247;1520302;1515315;1515372;1535695;1590328;1594357;1543410;1493270;1465486;1407873;1352753;1345091
"10 a 14 anos";1467703;1432970;1394506;1348114;1300710;1302705;1307047;1316600;1342704;1411066;1437919;1414207;1410607;1422219;1378773;1316633;1287895
"15 a 19 anos";1361050;1335269;1307840;1265186;1239777;1281733;1310229;1361892;1439657;1549505;1565171;1521545;1470033;1433402;1376630;1323985;1326750
"20 a 24 anos";1646359;1645709;1666440;1638580;1589751;1646789;1693269;1743755;1839980;1982486;2016420;2015816;2021459;1989313;1949372;1888269;1838974
"25 a 29 anos";2093724;2097602;2093816;2043371;1983809;2049624;2145918;2258554;2392519;2582679;2638791;2588776;2565018;2533483;2439983;2356897;2276948
"30 a 34 anos";2385471;2416771;2474099;2465265;2438761;2512959;2566046;2637721;2764768;2902173;2923553;2821045;2687699;2494116;2312148;2138277;2005288
"35 a 39 anos";2650182;2635638;2644765;2635044;2565720;2606888;2612638;2570252;2516016;2522500;2421401;2257265;2130260;2026584;1920685;1821463;1754366
"40 a 44 anos";2621783;2562944;2465543;2297850;2147746;2082665;2017523;1967994;1970418;2010900;1972392;1887632;1822819;1773441;1718449;1683478;1659431
"45 a 49 anos";2032984;1915941;1822646;1732851;1662356;1654080;1651695;1656475;1689787;1754704;1764740;1728527;1699856;1669375;1609946;1550638;1488807
"50 a 54 anos";1577292;1530606;1495739;1458391;1438111;1474566;1510765;1540934;1571388;1604600;1574695;1503545;1451329;1427672;1381192;1341021;1294068
"55 a 59 anos";1360144;1359494;1360002;1337355;1312175;1309920;1304026;1305478;1319485;1339548;1317793;1263127;1216893;1193669;1141551;1098864;1043284
"60 a 64 anos";1166004;1136920;1115218;1092450;1076370;1076573;1070516;1063803;1056495;1044495;1010137;957565;912656;889736;850641;809162;766591
"65 a 69 anos";1002434;981305;962074;934606;903927;886696;861602;842278;818335;798957;762555;722688;684891;665606;639910;624978;601693
"70 a 74 anos";828370;795664;767781;732851;703618;679425;655650;633028;611129;598216;586629;563863;546748;544012;538092;520078;498249
"75 a 79 anos";615046;586809;558641;531817;513834;510113;496974;488040;482277;485794;471520;452335;436965;433784;418656;407610;397393
"80 anos ou mais";904783;867138;836458;817715;800194;780144;752746;730524;709774;689866;660159;626870;596698;577045;541280;500604;463944
"Inconsistente";51;58;74;82;194;223;273;359;740;915;1176;1664;1855;2207;2859;3965;4865
"Total";26962911;26589973;26251275;25537341;24849684;25078172;25179352;25350232;25817358;26668278;26502337;25592440;24791122;24168976;23176688;22192095;21465879
